name,address,postal
A LINE DENTAL BRACES CLINIC PTE LTD,"The Adelphi 1 Coleman Street, #03-01, The Adelphi Singapore 179803",179803
A MEDICAL CLINIC,"EVERTON PARK 1 EVERTON PARK, #01-27, EVERTON PARK Singapore 081001",081001
"A SPECIALIST CLINIC FOR SINUS, SNORING & ENT","MOUNT ELIZABETH NOVENA SPECIALIST CENTRE 38 IRRAWADDY ROAD, #08-45, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE Singapore 329563",329563
A ST*R DENTAL SURGERY,"330 ANG MO KIO AVENUE 1, #01-1805, Singapore 560330",560330
A&M MEDICAL CENTRE,"SINGAPORE SHOPPING CENTRE 190 CLEMENCEAU AVENUE, #04-17, SINGAPORE SHOPPING CENTRE Singapore 239924",239924
A+FFORDABLE CLINIC (AMK AVE 10),"449 ANG MO KIO AVENUE 10, #01-1715, Singapore 560449",560449
A+FFORDABLE CLINIC (HOUGANG),"681 HOUGANG AVENUE 8, #01-829, Singapore 530681",530681
"A. B. JOHN EAR, NOSE & THROAT CLINIC & SURGERY","MOUNT ELIZABETH MEDICAL CENTRE 3 MT ELIZABETH, #15-10, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510
A.M AESTHETICS,"THE CLEMENTI MALL 3155 COMMONWEALTH AVENUE WEST, #04-50, THE CLEMENTI MALL Singapore 129588",129588
A.M. AESTHETICS,"BEDOK MALL 311 NEW UPPER CHANGI ROAD, #B1-18, BEDOK MALL Singapore 467360",467360
A.M.AESTHETICS,"LOT ONE, SHOPPERS' MALL 21 CHOA CHU KANG AVENUE 4, #02-26, LOT ONE, SHOPPERS' MALL Singapore 689812",689812
A1 MEDICAL CLINIC,"LINEAR GREEN @ BEDOK 418 BEDOK NORTH AVENUE 2, #01-63, LINEAR GREEN @ BEDOK Singapore 460418",460418
ABBOTT MANUFACTURING SINGAPORE MEDICAL CENTRE,26 TUAS SOUTH AVENUE 10 Singapore 637437,637437
"ABEL SOH DIABETES, THYROID AND ENDOCRINE CLINIC","MOUNT ELIZABETH HOSPITAL 3 MOUNT ELIZABETH, #07-08, MOUNT ELIZABETH HOSPITAL Singapore 228510",228510
ABLE MEDICAL,"201D TAMPINES STREET 21, #01-1129, Singapore 524201",524201
ABOUT BRACES DENTAL SURGERY,"Novena Specialist Center 8 SINARAN DRIVE, #06-01, Novena Specialist Center Singapore 307470",307470
"ABRAHAM'S EAR, NOSE & THROAT SURGERY PTE LTD","Paragon 290 Orchard Road, #11-10, Paragon Singapore 238859",238859
ABSOLUTE DENTAL,"ROXY SQUARE 50 EAST COAST ROAD, #01-59, ROXY SQUARE Singapore 428769",428769
ABSOLUTE FAMILY DENTAL,"BENDEMEER VILLE 22 BOON KENG ROAD, #01-41, BENDEMEER VILLE Singapore 330022",330022
ABSOLUTE SMILE DENTAL,"THE VENUE SHOPPES 2 TAI THONG CRESCENT, #01-04, THE VENUE SHOPPES Singapore 347836",347836
ACACIA MEDICAL CLINIC,"INTERLACE, THE 180 DEPOT ROAD, #01-07, INTERLACE, THE Singapore 109684",109684
ACCENT DENTAL SURGERY (JM) PTE LTD,"18 JALAN MEMBINA, #02-05, Singapore 164018",164018
ACCENT DENTAL SURGERY PTE LTD,"446 ANG MO KIO AVE 10, #01-1669, Singapore 560446",560446
ACCESS MEDICAL (BUKIT BATOK),"164 BUKIT BATOK STREET 11, #01-152, Singapore 650164",650164
ACCESS MEDICAL (EAST COAST),"18 BEDOK SOUTH ROAD, #01-69, Singapore 460018",460018
ACCESS MEDICAL (JURONG WEST),"463 JURONG WEST STREET 41, #01-564, Singapore 640463",640463
ACCESS MEDICAL (KIM KEAT),"KIM KEAT PALM 19 LORONG 7 TOA PAYOH, #01-272, KIM KEAT PALM Singapore 310019",310019
ACCESS MEDICAL (REDHILL CLOSE),"86 REDHILL CLOSE, #01-600, Singapore 150086",150086
ACCESS MEDICAL (TAMPINES 730),"TAMPINES COURTVIEW 730 TAMPINES STREET 71, #01-51, TAMPINES COURTVIEW Singapore 520730",520730
ACCESS MEDICAL (TOA PAYOH),"66 LORONG 4 TOA PAYOH, #01-315/317, Singapore 310066",310066
ACCESS MEDICAL (WHAMPOA),"87 WHAMPOA DRIVE, #01-869, Singapore 320087",320087
ACCLARO CLINIC,"PARAGON 290 ORCHARD ROAD, #12-01, PARAGON Singapore 238859",238859
ACCORD DENTAL CLINIC,"442 PASIR RIS DR 6, #01-26, Singapore 510442",510442
ACCORD MEDICAL CLINIC,"325 UBI AVENUE 1, #01-701, Singapore 400325",400325
ACE DENTAL CENTRE,"338 ANG MO KIO AVE 1, #01-1669, Singapore 560338",560338
ACE DENTAL CENTRE @ BT BATOK,"451 BUKIT BATOK WEST AVENUE 6, #01-05, Singapore 650451",650451
ACE FAMILY DENTALCARE,"56 NEW UPPER CHANGI ROAD, #01-1288, Singapore 461056",461056
ACE UROLOGY CLINIC & SURGERY,"MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D 820 THOMSON ROAD, #07-56, MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D Singapore 574623",574623
ACJ WOMEN'S CLINIC PTE LTD,"MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D 820 THOMSON ROAD, #07-63/64, MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D Singapore 574623",574623
ACMS MEDICAL CLINIC,"ORCHARD BUILDING 1 GRANGE ROAD, #06-06, ORCHARD BUILDING Singapore 239693",239693
ACUFEM WOMEN'S SPECIALIST SERVICES,"JURONG POINT SHOPPING CENTRE 1 JURONG WEST CENTRAL 2, #B1A-19E, JURONG POINT SHOPPING CENTRE Singapore 648886",648886
ACUMED MEDICAL CENTRE (GUL CIRCLE),14 TUAS AVENUE 1 LEVEL 2 Singapore 639499,639499
ACUMED MEDICAL CENTRE (KAKI BUKIT),KAKI BUKIT RECREATION CENTRE 7 KAKI BUKIT AVENUE 3 LEVEL 1 KAKI BUKIT RECREATION CENTRE Singapore 415814,415814
ACUMED MEDICAL CENTRE (KRANJI),11 KRANJI CLOSE Singapore 737673,737673
ACUMED MEDICAL CENTRE (PENJURU),PENJURU RECREATION CENTRE 27 PENJURU WALK LEVEL 1 PENJURU RECREATION CENTRE Singapore 608538,608538
ACUMED MEDICAL GROUP,"CLIFFORD CENTRE 24 RAFFLES PLACE, #02-05, CLIFFORD CENTRE Singapore 048621",048621
ACUMED MEDICAL GROUP,"38 TEBAN GARDENS ROAD, #01-318/319, Singapore 600038",600038
ADAM ROAD MEDICAL CENTRE PSYCHIATRIC & PSYCHOLOGICAL SERVICES,"King's Arcade 559 Bukit Timah Road, #01-02, King's Arcade Singapore 269695",269695
ADELINA WOMEN'S CLINIC,"Thomson Medical Centre 339 Thomson Road, #06-04, Thomson Medical Centre Singapore 307677",307677
ADELPHI PSYCH MEDICINE CLINIC,"THE ADELPHI 1 COLEMAN STREET, #04-32, THE ADELPHI Singapore 179803",179803
ADIDAH FAMILY CLINIC & SURGERY,"821 TAMPINES ST 81, #01-210, Singapore 520821",520821
ADMIRALTY FAMILY MEDICAL CLINIC,"693 WOODLANDS AVENUE 6, #01-08, Singapore 730693",730693
ADMIRALTY MEDICAL CENTRE,"Kampung Admiralty 676 WOODLANDS DRIVE 71, #03-01, Kampung Admiralty Singapore 730676",730676
ADRIAN TAN NEUROLOGY PRACTICE PTE LTD,"MOUNT ELIZABETH MEDICAL CENTRE 3 MOUNT ELIZABETH, #05-09, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510
ADULT & CHILD ENT SPECIALISTS,"CONNEXION 1 FARRER PARK STATION ROAD, #14-04, CONNEXION Singapore 217562",217562
ADULT & CHILD EYE (ACE) CLINIC,"MOUNT ELIZABETH NOVENA SPECIALIST CENTRE 38 IRRAWADDY ROAD, #07-43, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE Singapore 329563",329563
ADULT & CHILD PSYCHOLOGICAL WELLNESS CLINIC,"Royal Square at Novena 101 IRRAWADDY ROAD, #13-05, Royal Square at Novena Singapore 329565",329565
ADVANCE CLINIC & SURGERY PTE LTD,"301 UBI AVE 1, #01-269, Singapore 400301",400301
ADVANCE DIALYSIS SERVICES PTE LTD,"101 TOWNER ROAD, #01-214, Singapore 322101",322101
ADVANCE RENAL CARE (KOVAN),21 SIMON ROAD Singapore 545907,545907
ADVANCE RENAL CARE (NOVENA),MOUNT ELIZABETH NOVENA HOSPITAL - LEVEL 3 38 IRRAWADDY ROAD MOUNT ELIZABETH NOVENA HOSPITAL - LEVEL 3 Singapore 329563,329563
ADVANCE SURGICAL GROUP PTE LTD,"PARAGON 290 ORCHARD ROAD, #18-01, PARAGON Singapore 238859",238859
ADVANCED CENTRE FOR REPRODUCTIVE MEDICINE PTE. LTD.,"ANNEXE BLOCK GLENEAGLES HOSPITAL 6A NAPIER RD, #05-35, ANNEXE BLOCK GLENEAGLES HOSPITAL Singapore 258500",258500
ADVANCED DENTAL ANG MO KIO,"449 ANG MO KIO AVENUE 10, #01-1719, Singapore 560449",560449
ADVANCED DENTAL BEDOK,"56 NEW UPPER CHANGI ROAD, #01-1294, Singapore 461056",461056
ADVANCED DENTAL BUKIT PANJANG,"BUKIT PANJANG NEW TOWN 258 BUKIT PANJANG RING ROAD, #01-58, BUKIT PANJANG NEW TOWN Singapore 670258",670258
ADVANCED DENTAL CLINIC BUKIT PANJANG PTE LTD,"BUKIT PANJANG NEW TOWN 258 BUKIT PANJANG RING ROAD, #01-60, BUKIT PANJANG NEW TOWN Singapore 670258",670258
ADVANCED DENTAL CLINIC JURONG WEST PTE LTD,"498 JURONG WEST STREET 41, #01-482, Singapore 640498",640498
ADVANCED DENTAL CLINIC PASIR RIS PTE LTD,"LOYANG POINT 259 PASIR RIS STREET 21, #02-32, LOYANG POINT Singapore 510259",510259
ADVANCED DENTAL CLINIC SENGKANG,"RIVERVALE MALL 11 RIVERVALE CRESCENT, #02-12, RIVERVALE MALL Singapore 545082",545082
ADVANCED DENTAL CLINIC SERANGOON PTE LTD,"254 SERANGOON CENTRAL DRIVE, #01-213, Singapore 550254",550254
ADVANCED DENTAL PUNGGOL PLAZA,"PUNGGOL PLAZA 168 PUNGGOL FIELD, #01-13, PUNGGOL PLAZA Singapore 820168",820168
ADVANCED DENTAL PUNGGOL WATERWAY,"WATERWAY POINT 83 PUNGGOL CENTRAL, #02-10, WATERWAY POINT Singapore 828761",828761
ADVANCED DENTAL TAMPINES,"482 TAMPINES STREET 43, #01-238, Singapore 520482",520482
ADVANCED DENTAL TOA PAYOH,"19 LORONG 7 TOA PAYOH, #01-270, Singapore 310019",310019
ADVANCED LAPAROSCOPIC SURGERY,"GLENEAGLES HOSPITAL ANNEXE BLOCK 6A NAPIER ROAD, #03-37C, GLENEAGLES HOSPITAL ANNEXE BLOCK Singapore 258500",258500
ADVANCED MEDICINE IMAGING,"AMNIOS 1 BIOPOLIS DRIVE, #01-02 / 03, AMNIOS Singapore 138622",138622
ADVANCED MEDICINE RADIOTHERAPY,"CONNEXION 1 FARRER PARK STATION ROAD, #08-06, CONNEXION Singapore 217562",217562
ADVANCED UROLOGY,"MOUNT ELIZABETH MEDICAL CENTRE 3 MOUNT ELIZABETH, #17-14, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510
ADVANCED VASCULAR & ENDOVASCULAR CLINIC,"MOUNT ELIZABETH NOVENA SPECIALIST CENTRE 38 IRRAWADDY ROAD, #08-36/37/38/39, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE Singapore 329563",329563
ADVANCED VASCULAR CENTRE,"MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D 820 THOMSON ROAD, #07-58, MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D Singapore 574623",574623
ADVENT DENTAL SURGERY PTE. LTD.,"530A JURONG WEST AVENUE 1, #01-907, Singapore 641530",641530
ADVENT ENDODONTICS INC PTE LTD,"PARAGON 290 ORCHARD ROAD, #11-10, PARAGON Singapore 238859",238859
AE MEDICAL CLINIC,"467B FERNVALE LINK, #01-529, Singapore 792467",792467
AEGIS DIALYSIS CENTRE PTE LTD,"716 YISHUN STREET 71, #01-272, Singapore 760716",760716
AELITE IMPLANT AND DENTAL CENTER,"BEAUTY WORLD CENTRE 144 UPPER BUKIT TIMAH ROAD, #01-05/06, BEAUTY WORLD CENTRE Singapore 588177",588177
AEON MEDICAL AND AESTHETIC CENTRE,"SCOTTS MEDICAL CENTER, PACIFIC PLAZA 9 SCOTTS ROAD, #06-01/02/03, SCOTTS MEDICAL CENTER, PACIFIC PLAZA Singapore 228210",228210
AESTEEM AESTHETIC CLINIC,"SQUARE 2 10 SINARAN DRIVE, #11-23, SQUARE 2 Singapore 307506",307506
AESTHETE SMILESTUDIO,"CLIFFORD CENTRE 24 RAFFLES PLACE, #02-04, CLIFFORD CENTRE Singapore 048621",048621
AESTHETIC & DENTAL SURGERY,"MARINA SQUARE 6 RAFFLES BOULEVARD, #B1-10, MARINA SQUARE Singapore 039594",039594
AESTHETIC & MEDICAL CLINIC,"WISMA ATRIA 435 ORCHARD ROAD, #17-04/05, WISMA ATRIA Singapore 238877",238877
AESTHETIC & MEDICAL CLINIC (DR JOSEPH YANG@ORCHARD),"WISMA ATRIA 435 ORCHARD ROAD, #17-04/05, WISMA ATRIA Singapore 238877",238877
AESTHETIC & RECONSTRUCTIVE CENTRE,"Mount Elizabeth Medical Centre 3 Mount Elizabeth, #13-08, Mount Elizabeth Medical Centre Singapore 228510",228510
AESTHETIC DENTAL CARE,"KECK SENG TOWER 133 CECIL STREET, #04-01, KECK SENG TOWER Singapore 069535",069535
AESTHETIC RECONSTRUCTIVE JAW SURGERY,"Mount Elizabeth Medical Centre 3 Mount Elizabeth, #04-05, Mount Elizabeth Medical Centre Singapore 228510",228510
AESTHETIC WORKS MEDICAL ASSOCIATES,"Parkway Parade 80 Marine Parade Road, #05-06/07, Parkway Parade Singapore 449269",449269
AESTHETICS DENTAL SURGERY,"WINSLAND HOUSE I 3 KILLINEY ROAD, #09-01, WINSLAND HOUSE I Singapore 239519",239519
AESTHETICS PLUS MEDICAL CLINIC,"57 CIRCULAR ROAD, #02-01, Singapore 049412",049412
AESTHETICS@HEALTHSPRINGS,"GREENRIDGE SHOPPING CENTRE 524A JELAPANG ROAD, #02-01/02, GREENRIDGE SHOPPING CENTRE Singapore 671524",671524
AFFINITY MEDICAL CLINIC,"253 SERANGOON CENTRAL DRIVE, #01-187, Singapore 550253",550253
AFFINITY SURGERY CENTRE,"Mount Elizabeth Novena Specialist Centre 38 IRRAWADDY ROAD, #09-45/46, Mount Elizabeth Novena Specialist Centre Singapore 329563",329563
AFFORD MEDICAL,"THE BROOKS II 25 SPRINGSIDE GREEN, #01-09, THE BROOKS II Singapore 786015",786015
AFPD MEDICAL CLINIC,10 TAMPINES INDUSTRIAL AVENUE 3 Singapore 528798,528798
AGAPE CLINIC,"222 Bishan St. 23, #B1-169, Singapore 570222",570222
AGAPE WOMEN'S SPECIALISTS,"MEDICAL CENTRE D MOUNT ALVERNIA HOSPITAL 820 THOMSON ROAD, #06-70, MEDICAL CENTRE D MOUNT ALVERNIA HOSPITAL Singapore 574623",574623
AGASTHIAN THORACIC SURGERY PTE LTD,"MOUNT ELIZABETH MEDICAL CENTRE 3 MOUNT ELIZABETH, #14-12, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510
AGE-LINK SPECIALIST CLINIC FOR OLDER PERSONS,"MOUNT ELIZABETH MEDICAL CENTRE 3 MOUNT ELIZABETH, #11-02, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510
AGELESS MEDICAL,"WHEELOCK PLACE 501 ORCHARD ROAD, #04-10, WHEELOCK PLACE Singapore 238880",238880
"AGEWELL SENIORS CLINIC, AGEWELL ARTSZ MEDICAL GROUP PTE LTD","CONNEXION 1 FARRER PARK STATION ROAD, #13-07, CONNEXION Singapore 217562",217562
AGLOW BABY & CHILD SPECIALIST CLINIC,"UNITED SQUARE 101 THOMSON ROAD, #02-09, UNITED SQUARE Singapore 307591",307591
AIA ALEXANDRA CLINIC,"AIA ALEXANDRA 371 ALEXANDRA ROAD, #01-03, AIA ALEXANDRA Singapore 159963",159963
AIDAN MEDICAL CLINIC,"539 BEDOK NORTH STREET 3, #01-623, Singapore 460539",460539
AJ WARREN DENTAL CLINIC,"ICON @ PASIR PANJANG 218 PASIR PANJANG ROAD, #02-11, ICON @ PASIR PANJANG Singapore 118579",118579
ALAXIS MEDICAL & AESTHETIC SURGERY,"INTERNATIONAL BUILDING 360 ORCHARD ROAD, #04-05, INTERNATIONAL BUILDING Singapore 238869",238869
ALDA DENTAL SURGERY,"48 TANGLIN HALT ROAD, #01-337, Singapore 142048",142048
ALDA DENTAL SURGERY(BEDOK),"158 BEDOK SOUTH AVENUE 3, #01-589, Singapore 460158",460158
ALEX FOK ENDOCRINE PRACTICE,"MOUNT ELIZABETH MEDICAL CENTRE 3 MT ELIZABETH, #07-07, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510
ALEX OOI & ASSOCIATES OBGYN CONSULTANTS,"CONNEXION 1 FARRER PARK STATION ROAD, #12-05, CONNEXION Singapore 217562",217562
ALEXANDER DENTAL ASSOCIATES,"LUCKY PLAZA 304 ORCHARD ROAD, #05-30, LUCKY PLAZA Singapore 238863",238863
ALEXANDRA FAMILY CLINIC & SURGERY,"57 DAWSON ROAD, #02-02, Singapore 142057",142057
ALEXIUS CHEE GASTROENTEROLOGY & MEDICAL CLINIC,"Mount Elizabeth Medical Centre 3 Mount Elizabeth, #05-09, Mount Elizabeth Medical Centre Singapore 228510",228510
ALFRED CHENG CARDIAC CARE,"Mount Elizabeth Medical Centre 3 Mount Elizabeth, #15-15, Mount Elizabeth Medical Centre Singapore 228510",228510
ALFRED CHENG ORTHODONTIC CLINIC,"MOUNT ELIZABETH MEDICAL CENTRE 3 MT ELIZABETH, #03-03, MOUNT ELIZABETH MEDICAL CENTRE Singapore 228510",228510
ALIGN BRACES CLINIC,"PLAZA SINGAPURA 68 ORCHARD ROAD, #04-33, PLAZA SINGAPURA Singapore 238839",238839
ALIVEOMEDICAL,"MOUNT ELIZABETH HOSPITAL 3 MOUNT ELIZABETH, #10-07, MOUNT ELIZABETH HOSPITAL Singapore 228510",228510
ALJUNIED DENTAL SURGERY PTE LTD,"119 ALJUNIED AVE 2, #01-70, Singapore 380119",380119
ALL DERMA MEDICAL CLINIC,"INTERNATIONAL BUILDING 360 ORCHARD ROAD, #03-14, INTERNATIONAL BUILDING Singapore 238869",238869
"ALLERGY, ARTHRITIS & RHEUMATISM CLINIC","CONNEXION 1 FARRER PARK STATION ROAD, #14-13, CONNEXION Singapore 217562",217562
ALLHEALTH FAMILY CLINIC,"872C TAMPINES STREET 86, #01-01, Singapore 523872",523872
ALLIANCE CLINIC AND PARTNERS PTE LTD,"652 JALAN TENAGA, #01-50, Singapore 410652",410652
ALLSMILES DENTAL CARE PLUS,"502 JURONG WEST AVENUE 1, #01-805, Singapore 640502",640502
ALLSMILES DENTAL CARE PTE LTD,"502 JURONG WEST AVENUE 1, #01-817, Singapore 640502",640502
ALLSMILES DENTAL CARE PUNGGOL PTE. LTD.,"681 PUNGGOL DRIVE, #03-10, Singapore 820681",820681
ALLURE PLASTIC SURGERY,"WISMA ATRIA 435 ORCHARD ROAD, #22-04, WISMA ATRIA Singapore 238877",238877
ALLY HEALTH,"46-2 COMMONWEALTH DRIVE, #01-372, Singapore 140462",140462
ALOHA DENTAL PTE LTD,"FAR EAST PLAZA 14 SCOTTS ROAD, #04-125/126, FAR EAST PLAZA Singapore 228213",228213
ALPHA DENTAL GROUP,"AXA TOWER 8 SHENTON WAY, #01-19, AXA TOWER Singapore 068811",068811
ALPHA IVF CENTRE ALPHA WOMEN'S SPECIALISTS,"ROYAL SQUARE AT NOVENA 101 IRRAWADDY ROAD, #12-07 to 14, ROYAL SQUARE AT NOVENA Singapore 329565",329565
ALPHA JOINTS & ORTHOPAEDICS PTE LTD,"THE PARAGON 290 ORCHARD ROAD, #17-12, THE PARAGON Singapore 238859",238859
ALPHA JOINTS & ORTHOPAEDICS PTE. LTD.,"GLENEAGLES MEDICAL CENTRE 6 NAPIER ROAD, #02-20, GLENEAGLES MEDICAL CENTRE Singapore 258499",258499
ALPHA WOMEN'S SPECIALISTS,"Royal Square @ Novena 101 IRRAWADDY ROAD, #12-12, Royal Square @ Novena Singapore 329565",329565
ALPINE SURGICAL PRACTICE,"PARKWAY EAST MEDICAL CENTRE 319 JOO CHIAT PLACE, #04-07, PARKWAY EAST MEDICAL CENTRE Singapore 427989",427989
ALVIN HONG NEUROSURGERY,"Mount Elizabeth Medical Centre 3 Mount Elizabeth, #14-14, Mount Elizabeth Medical Centre Singapore 228510",228510
AMANDELA ENT HEAD & NECK CENTRE,"Mount Elizabeth Novena Specialist Centre 38 IRRAWADDY ROAD, #10-45/46/47, Mount Elizabeth Novena Specialist Centre Singapore 329563",329563
AMARIS B CLINIC,140 ARAB STREET Singapore 199827,199827
AMBULATORY SURGICARE (ASC),"Novena Medical Center 10 Sinaran Drive, #09-01, Novena Medical Center Singapore 307506",307506
AMDA INTERNATIONAL PEACE CLINIC,"BOTANIC GARDENS VIEW 9 TAMAN SERASI, #01-11, BOTANIC GARDENS VIEW Singapore 257720",257720
AMERICAN INTERNATIONAL CLINIC PTE LTD,"NOVENA MEDICAL CENTER 10 SINARAN DRIVE, #10-09/10, NOVENA MEDICAL CENTER Singapore 307506",307506
AMICAL DENTAL SURGERY,"827 Tampines Street 81, #01-132, Singapore 520827",520827
AMITY MEDICAL CLINIC & DENTAL SURGERY,"371 BT BATOK ST 31, #01-314, Singapore 650371",650371
AMK FAMILY CLINIC PTE LTD,"NO 51 @ AMK 51 ANG MO KIO AVE 3, #01-01, NO 51 @ AMK Singapore 569922",569922
AMK SPECIALIST CENTRE,"AMK SPECIALIST CENTRE 723 ANG MO KIO AVENUE 8, #1 & 2-NA, AMK SPECIALIST CENTRE Singapore 560723",560723
AMOY STREET DENTAL,40 AMOY STREET Singapore 069866,069866
AMPM FAMILY CLINIC & SURGERY PTE. LTD.,"123 TOA PAYOH LOR 1, #01-521, Singapore 310123",310123
AN DENTAL,"INTERNATIONAL BUILDING 360 ORCHARD ROAD, #03-06/07, INTERNATIONAL BUILDING Singapore 238869",238869
ANAESTHESIA & ANALGESIA PAIN MANAGEMENT CENTRE,"Gleneagles Annexe Block 6A Napier Road, #05-36A, Gleneagles Annexe Block Singapore 258500",258500
ANDERSON MEDICAL CENTRE,"283 BISHAN ST 22, #01-173, Singapore 570283",570283
"ANDREA'S DIGESTIVE, COLON, LIVER AND GALLBLADDER CLINIC PTE LTD","ROYAL SQUARE AT NOVENA 101 IRRAWADDY ROAD, #21-11/12, ROYAL SQUARE AT NOVENA Singapore 329565",329565
ANDREW LEE BREAST CLINIC,"GLENEAGLES MEDICAL CENTRE 6 NAPIER ROAD, #09-13, GLENEAGLES MEDICAL CENTRE Singapore 258499",258499
"ANDREW SEE SURGERY HEAD & NECK, THYROID AND GENERAL SURGERY","GLENEAGLES MEDICAL CENTRE 6 NAPIER RD, #05-14, GLENEAGLES MEDICAL CENTRE Singapore 258499",258499
"ANDROLOGY, UROLOGY & CONTINENCE CENTRE","GLENEAGLES HOSPITAL, ANNEXE BLOCK 6A NAPIER ROAD, #05-36B/36D, GLENEAGLES HOSPITAL, ANNEXE BLOCK Singapore 258500",258500
ANEW AEROMEDICAL N EMOTIONAL WELLNESS CENTRE,"ROYAL SQUARE AT NOVENA 101 IRRAWADDY ROAD, #21-03, ROYAL SQUARE AT NOVENA Singapore 329565",329565
ANG DENTAL SURGERY,"LUCKY PLAZA 304 ORCHARD ROAD, #06-34/35, LUCKY PLAZA Singapore 238863",238863
ANG MO KIO - THYE HUA KWAN HOSPITAL DIALYSIS CENTRE,"ANG MO KIO - THYE HUA KWAN HOSPITAL 17 ANG MO KIO AVENUE 9, #-, ANG MO KIO - THYE HUA KWAN HOSPITAL Singapore 569766",569766
ANG MO KIO 10 DENTAL,"CHENG SAN CENTRE 532 ANG MO KIO AVENUE 10, #01-2485, CHENG SAN CENTRE Singapore 560532",560532
ANG MO KIO DENTAL SURGERY,"157 ANG MO KIO AVE 4, #01-560, Singapore 560157",560157
ANG MO KIO FAMILY MEDICINE CLINIC,"BROADWAY PLAZA 4190 ANG MO KIO AVENUE 6, #03-01, BROADWAY PLAZA Singapore 569841",569841
