tp_code,centre_code,centre_name,organisation_code,organisation_description,service_model,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,infant_vacancy,pg_vacancy,n1_vacancy,n2_vacancy,k1_vacancy,k2_vacancy,food_offered,second_languages_offered,spark_certified,weekday_full_day,saturday,scheme_type,extended_operating_hours,provision_of_transport,government_subsidy,gst_regisration,last_updated,remarks
"na","ST0325","PCF Sparkletots Preschool @ Cashew Blk 545 (EY)","ST","PAP Community Foundation","CC","67646220","CW.EY.545@pcf.org.sg","545,Bukit Panjang Ring Road,#01-871,670545","670545","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","na","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","ST0057","PCF Sparkletots Preschool @ Cheng San-Seletar Blk 502 (EY)","ST","PAP Community Foundation","CC","65549513","CS.EY.502@pcf.org.sg","502,ANG MO KIO AVENUE 5,#01-3734,560502","560502","na","Immediate","Within 1 Year","Within 1 Year","Within 1 Year","Within 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","ST0294","PCF Sparkletots Preschool @ Yio Chu Kang Blk 644 (EY)","ST","PAP Community Foundation","EYC-DS","64536497","YK.EY.644@pcf.org.sg","644,Ang Mo Kio Ave 4,#01-850,560644","560644","na","na","na","na","na","na","na","na","Chinese|Malay|Tamil","Yes","na","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","ST0152","PCF SParkletots Preschool @Zhenghua Blk 550B (EY)","ST","PAP Community Foundation","CC","67104138","ZH.EY.550B@pcf.org.sg","550B,SEGAR ROAD,#01-628,672550","672550","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","ST0159","PCF SPARKLETOTS PRESCHOOL @ BUKIT PANJANG BLK 254 (EY)","ST","PAP Community Foundation","EYC-DS","67696688","BP.EY.254@pcf.org.sg","254,BANGKIT ROAD,#01-204,670254","670254","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","na","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","ST0321","PCF Sparkletots Preschool @ Bukit Panjang Blk 111 (EY)","ST","PAP Community Foundation","CC","67644828","BP.EY.111@pcf.org.sg","111,Gangsa Road,#01-75,670111","670111","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","na","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","ST0165","PCF Sparkletots Preschool @ Tampines West Blk 151 (EY)","ST","PAP Community Foundation","CC","67856155","TW.EY.151@pcf.org.sg","151,TAMPINES STREET 12,#01-26,521151","521151","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT8453","KIDZPRO LLP","PT","Private Operators","CC","67842880","tampines@modern-montessori.com","939,TAMPINES AVENUE 5,#01-167,520939","520939","www.modern-montessori.com","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2021-01-04","na"
"na","PT9772","The Little Skool-House At Ngee Ann Polytechnic","PT","Private Operators","CC","64645219","elizabeth.c@thecaterpillarscove.com.sg","535,CLEMENTI ROAD,#03-01,Blk 53 NGEE ANN POLYTECHNIC,599489","599489","www.thecaterpillarscove.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9041","SUNFLOWER PRESCHOOL @ HOUGANG (PTE. LTD.)","PT","Private Operators","CC","63866048","elmotic25@yahoo.com","90,HOUGANG AVENUE 10,#05-08,HOUGANG MALL,538766","538766","na","na","Within 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","No","2021-01-04","na"
"na","WP1109","THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD","WP","Workplace","CC","65665110","info@thecaterpillarscove.com.sg","80,JURONG EAST STREET 21,#03-02,DEVAN NAIR INSTITUTE,609607","609607","www.thecaterpillarscove.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","na","Yes","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2021-01-04","na"
"TP0002","SK0005","SKOOL4KIDZ CENTRE","SK","Skool4Kidz Pte Ltd","CC","64656117","sjpv@skool4kidz.com.sg","636C,SENJA ROAD,#01-335,673636","673636","http://skool4kidz.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","EB0019","E-Bridge Pre-School Pte Ltd","EB","E-Bridge Pre-school Pte. Ltd.","CC","69692142","Canberra126@e-bridge.edu.sg","126A,CANBERRA STREET,#01-767,751126","751126","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Others: English","No","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2021-01-04","na"
"na","RC1858","Little Shepherds' Schoolhouse@St Anne's Church","RC","Not-for-Profit Organisation","KN","63862007","lss-sac.principal@catholicpreschool.edu.sg","66,SENGKANG EAST WAY,548593","548593","na","na","na","na","na","na","na","Others","Chinese","No","08:15-16:00","na","na","No","Yes","Yes","No","2021-01-04","na"
"na","RC1853","Sri Sathya Sai Kindergarten","RC","Not-for-Profit Organisation","KN","93677934","jaikparikh@yahoo.com.sg","716,PASIR RIS STREET 72,#01-09,510716","510716","na","na","na","na","na","na","na","Vegetarian","Tamil|Others: Hindi","No","09:00-15:00","na","na","No","Yes","Yes","No","2021-01-04","na"
"na","RC1848","Riverlife Kindegarten","RC","Not-for-Profit Organisation","KN","65114167","oileng@riverlifekindergarten.org.sg","6,LOYANG BESAR CLOSE,509026","509026","www.riverlifekindergarten.org.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","No","08:00-16:00","na","na","No","Yes","Yes","No","2021-01-04","na"
"na","RC1864","MARIS STELLA KINDERGARTEN","RC","Not-for-Profit Organisation","KN","96208997","marisstellakg@yahoo.com.sg","49B,HOLLAND ROAD,258851","258851","www.marisstella.edu.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","No","08:45-12:15","na","na","No","Yes","Yes","Yes","2021-01-04","na"
"na","RC1859","KHALSA KINDERGARTEN","RC","Not-for-Profit Organisation","KN","94571534","principal@khalsakindergarten.org.sg","1,BEATTY ROAD,209943","209943","www.singaporekhalsa.org.sg","na","na","na","na","na","na","Vegetarian","Tamil|Others: Punjabi & Hindi","Yes","07:30-16:30","na","na","No","Yes","Yes","Yes","2021-01-04","na"
"na","ST0124","PCF SPARKLETOTS PRESCHOOL @ ZHENGHUA BLK 632A (CC)","ST","PAP Community Foundation","CC","63392149","ZH.CC.632A@pcf.org.sg","632A,SENJA ROAD,#01-167,671632","671632","na","Within 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9634","Mosaic Preschool","PT","Private Operators","CC","90034236","crystal.tww@gmail.com","896,DUNEARN ROAD,#05-01,896 DUNEARN,589472","589472","www.mkg.sg","na","na","na","na","na","na","Halal Food With No Beef (with Certification from MUIS)","Chinese","No","08:00-17:00","na","na","No","Yes","Yes","No","2021-01-04","na"
"na","ST0279","PCF Sparkletots Preschool @ Sengkang East Blk 143 (KN)","ST","PAP Community Foundation","KN","63889486","PE.KN.143@pcf.org.sg","143,Rivervale Drive,#01-557,540143","540143","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","08:00-17:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9015","Little Footprints Preschool Group Pte Ltd","PT","Private Operators","CC","67585493","george.er@littlefootprints.edu.sg","865,YISHUN STREET 81,#01-21,760865","760865","www.littlefootprints.com.sg","na","More than 1 Year","More than 1 Year","Within 1 Year","Within 1 Year","Within 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9234","Little Footprints Preschool Group Pte Ltd","PT","Private Operators","CC","62701939","linda.chong@littlefootprints.edu.sg","113,BUKIT PURMEI ROAD,#01-226,BUKIT PURMEI VILLE,090113","090113","www.littlefootprints.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9247","Little Footprints Preschool Group Pte Ltd","PT","Private Operators","CC","63621088","jaslyn.ong@babilou-family.sg","877,WOODLANDS AVENUE 9,#01-278,730877","730877","www.littlefootprints.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","na","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9273","Little Footprints Preschool Group Pte Ltd","PT","Private Operators","CC","67836601","yaty.roslan@littlefootprints.edu.sg","372,TAMPINES STREET 34,#01-20,520372","520372","www.littlefootprints.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9271","Little Footprints Preschool Group Pte Ltd","PT","Private Operators","CC","67880603","maria.sharma@littlefootprints.edu.sg","460,TAMPINES STREET 42,#01-312,520460","520460","www.littlefooprints.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9023","Little Footprints Preschool Group Pte Ltd","PT","Private Operators","CC","62811173","hidayah.rahman@littlefootprints.edu.sg","255,SERANGOON CENTRAL DRIVE,#01-50,550255","550255","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","na","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9020","Little Footprints Preschool Group Pte Ltd","PT","Private Operators","CC","68625606","layting.ang@littlefootprints.edu.sg","660D,JURONG WEST STREET 64,#01-334,644660","644660","www.littlefootprints.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9024","Little Footprints Preschool Group Pte Ltd","PT","Private Operators","CC","63531712","marivic.chee@littlefootprints.edu.sg","140,BISHAN STREET 12,#01-484,BISHAN GREEN,570140","570140","www.littlefootprints.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","na","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9272","Little Footprints Preschool Group Pte Ltd","PT","Private Operators","CC","65608786","alina.lim@littlefootprints.edu.sg","248,JURONG EAST STREET 24,#01-72,600248","600248","www.littlefootprints.com.sg","na","Immediate","More than 1 Year","Immediate","More than 1 Year","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","na","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9021","Little Footprints Preschool Group Pte Ltd","PT","Private Operators","CC","62611146","chengyee.aw@littlefootprints.edu.sg","350,CORPORATION DRIVE,#01-550,610350","610350","www.littlefootprints.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","na","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","ST0079","PCF Sparkletots Preschool @ Sengkang North Blk 290A (CC)","ST","PAP Community Foundation","CC","63882053","SR.CC.290A@pcf.org.sg","290A,COMPASSVALE CRESCENT,#01-06,541290","541290","na","Within 1 Year","More than 1 Year","More than 1 Year","Within 1 Year","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9510","SUNFLOWER @ YUNNAN PTE LTD","PT","Private Operators","CC","62516028","sfyn.cm@gmail.com","98,YUNNAN CRESCENT,638310","638310","https://www.sunflowerkid.com/","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","No","2021-01-04","na"
"na","YM0030","MY WORLD PRESCHOOL LTD.","YM","MY World Preschool Ltd","CC","62808744","cchgg@myworld.org.sg","373,Hougang St 31,#01-65,530373","530373","www.myworld.org.sg","na","Immediate","Immediate","Within 1 Year","Immediate","More than 1 Year","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9120","STAR LEARNERS @ RIVERVALE PTE LTD","PT","Private Operators","CC","62500173","mengwei.tan@starlearners.com.sg","195,RIVERVALE DRIVE,#01-743,540195","540195","na","Within 1 Year","Immediate","Within 1 Year","Within 1 Year","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","ST0374","PCF Sparkletots Preschool @ Hong Kah North Blk 446 (DS)","ST","PAP Community Foundation","DS","65737822","HN.DS.446@pcf.org.sg","446,Bukit Batok West Avenue 8,#02-01,650446","650446","na","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","No","07:00-19:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-04","na"
"na","PT9027","Kiddiwinkie Schoolhouse Pte. Ltd.","PT","Private Operators","CC","63480897","karen.lim@kiddiwinkie.edu.sg","1,BOURNEMOUTH ROAD,439659","439659","www.kiddiwinkie.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2021-01-04","na"
"na","PT8687","CHERIE HEARTS @ BEDOK CENTRAL PTE. LTD.","PT","Private Operators","CC","62426787","yong.pueh.teng@cheriehearts.com.sg","219,BEDOK CENTRAL,#01-140A,MULTI STOREY CAR PARK,460219","460219","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:30","07:00-14:00","na","No","No","Yes","No","2021-01-03","na"
"na","PT9774","Sengkang Methodist Preschool","PT","Private Operators","KN","98477046","joannelow@skmcc.org.sg","31,ANCHORVALE ROAD,545056","545056","na","na","na","na","na","na","na","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","Yes","08:00-15:00","na","na","No","Yes","Yes","Yes","2021-01-02","na"
"na","PT9773","Foochow Methodist Preschool","PT","Private Operators","KN","62942516","fmc_kdg@foochowmc.org.sg","90,RACE COURSE ROAD,218577","218577","na","na","na","na","na","na","na","Vegetarian","Chinese","Yes","08:15-16:00","na","na","No","No","Yes","No","2021-01-02","na"
"na","ST0077","PCF Sparkletots Preschool @ Toa Payoh East Blk 232 (CC)","ST","PAP Community Foundation","CC","62586846","TT.CC.232@pcf.org.sg","232,LORONG 8 TOA PAYOH,#01-234,310232","310232","na","More than 1 Year","Immediate","Immediate","Immediate","Immediate","Within 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Tamil","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-02","na"
"na","PT9360","AMERICA MONTESSORI INTERNATIONAL PRESCHOOL PTE. LTD.","PT","Private Operators","CC","66850338","isabellaiss77@gmail.com","17J,JALAN HOCK CHYE,538202","538202","https://www.facebook.com/america.montessori.3","na","Immediate","Immediate","Immediate","Within 1 Year","Immediate","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2021-01-02","na"
"na","PT9771","Al-Amin Preschool","PT","Private Operators","KN","67860042","info@alamin.edu.sg","492B,TAMPINES AVENUE 9,#01-422,520492","520492","www.alamin@singnet.com.sg","na","na","na","na","na","na","Halal Food With No Beef (with Certification from MUIS)","Malay","No","08:00-17:00","na","na","No","Yes","Yes","No","2021-01-02","na"
"na","PT8836","LITTLE FOOTPRINTS PRESCHOOL @ Aljunied PTE LTD","PT","Private Operators","CC","68447702","christina.yong@babilou-family.sg","165,SIMS AVENUE,#01-01,HARVEST CARE CENTRE,387606","387606","www.littlefootprints.com.sg","na","Immediate","Immediate","Immediate","Immediate","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","No","2021-01-02","na"
"na","PT8433","LITTLE VILLAGE ON THE GRANGE","PT","Private Operators","CC","67357356","ENQUIRIES@LITTLEVILLAGE.COM.SG","41,GRANGE ROAD,239704","239704","na","na","More than 1 Year","More than 1 Year","More than 1 Year","Within 1 Year","Within 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2021-01-02","na"
"na","PT9324","STAR LEARNERS @ HOUGANG PTE LTD","PT","Private Operators","CC","62500173","MENGWEI.TAN@STARLEARNERS.COM.SG","8,ST. XAVIER'S LANE,535736","535736","na","na","Within 1 Year","Within 1 Year","Within 1 Year","Within 1 Year","Within 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2021-01-02","na"
"na","ST0189","PCF SPARKLETOTS PRESCHOOL @ PUNGGOL WEST BLK 222 (CC)","ST","PAP Community Foundation","CC","65383550","PU.CC.222@pcf.org.sg","222,SUMANG LANE,#01-02,MULTI STOREY CAR PARK,820222","820222","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2021-01-02","na"
"na","PT9387","MINDCHAMPS CHINESE PRESCHOOL @ CECIL ST PTE LTD","PT","Private Operators","CC","97949398","florenceho@mindchamps.org","105,CECIL STREET,#04-01,THE OCTAGON,069534","069534","na","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","na","na","No","Yes","Yes","Yes","2021-01-02","na"
"na","PT0510","KINDERLAND PRESCHOOL","PT","Private Operators","CC","64832501","kesyckcc@kinderland.com.sg","449,YIO CHU KANG ROAD,805946","805946","www.kinderland.com.sg","More than 1 Year","Within 1 Year","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2021-01-01","na"
"na","PT8979","LEARNING VISION @ WORK PTE. LTD.","PT","Private Operators","CC","64679322","joenzhou@learningvision.com","673,BUKIT TIMAH ROAD,THE CHINESE HIGH SCHOOL,269735","269735","www.learningvision.com","Within 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2021-01-01","na"
"na","PT9632","Summer Montessori","PT","Private Operators","CC","88008888","info@summermontessori.com","21,YUNG HO ROAD,#01-04,THE AGAPE,618593","618593","http://www.summermontessori.com","na","na","na","na","na","na","Halal Food With No Beef (with Certification from MUIS)","Chinese","No","07:00-19:00","na","na","No","Yes","Yes","No","2021-01-01","na"
"TP0134","PT9392","AGAPE LITTLE UNI. @ UPPER SERANGOON PTE LTD","PT","Private Operators","CC","69209473","USC473D@AGAPELITTLEUNI.COM","473D,UPPER SERANGOON CRESCENT,#01-353,HOUGANG PARKEDGE,538473","538473","na","Within 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","na","No","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2021-01-01","na"
"na","ST0381","PCF Sparkletots Preschool @ Kolam Ayer Blk 26B (CC)","ST","PAP Community Foundation","CC","65733258","KY.CC.26B@pcf.org.sg","26B,ST. GEORGE'S LANE,ST GEORGE'S TOWERS,322026","322026","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-31","na"
"na","ST0089","PCF Sparkletots Preschool @ Sengkang North Blk 298B (CC)","ST","PAP Community Foundation","CC","63843554","SR.CC.298B@pcf.org.sg","298B,COMPASSVALE STREET,#01-164,542298","542298","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-31","na"
"na","PT9183","OUR JUNIORS GLOBAL SCHOOLHOUSE PTE. LTD.","PT","Private Operators","CC","67499909","florence.chuah@littlefootprints.edu.sg","10,UBI CRESCENT,#02-06,UBI TECHPARK,408564","408564","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","na","na","No","Yes","Yes","Yes","2020-12-31","na"
