name,address,postal
NTUC HEALTH NURSING HOME( GEYLANG EAST),25 GEYLANG EAST CENTRAL Singapore 389708,389708
ORANGE VALLEY CARE CENTRE (BALESTIER),363 BALESTIER ROAD Singapore 329784,329784
ORANGE VALLEY NURSING HOME,52/53 BIGGIN HILL ROAD Singapore 509945,509945
ORANGE VALLEY NURSING HOME (CLEMENTI),221 CLEMENTI AVE 4 Singapore 129881,129881
ORANGE VALLEY NURSING HOME (MARSILING),11 WOODLANDS AVENUE 1 Singapore 739068,739068
ORANGE VALLEY NURSING HOME (SIMEI),6 Simei Street 3 Singapore 529898,529898
OUR LADY OF LOURDES NURSING HOME PTE LTD,19 TOH DRIVE Singapore 507871,507871
PACIFIC HEALTHCARE NURSING HOME,6 Lengkok Bahru Singapore 159051,159051
PACIFIC HEALTHCARE NURSING HOME II,21 Senja Road Singapore 677736,677736
PEARL'S HILL CARE HOME,5 PEARL'S HILL ROAD Singapore 168996,168996
REN CI @ ANG MO KIO (NURSING HOME),10 ANG MO KIO AVENUE 8 Singapore 567727,567727
REN CI @ BUKIT BATOK ST. 52 (NURSING HOME),31 BUKIT BATOK STREET 52 Singapore 659251,659251
SAINT THERESA'S HOME,49 UPPER THOMSON ROAD Singapore 574325,574325
SERENE NURSING HOME PTE LTD,31 JOO CHIAT LANE Singapore 428101,428101
SINGAPORE CHRISTIAN HOME,20 SEMBAWANG CRESCENT Singapore 757092,757092
SOCIETY FOR THE AGED SICK,130 Hougang Avenue 1 Singapore 538900,538900
SOO'S NURSING HOME PTE LTD,45 SIXTH AVENUE Singapore 276487,276487
SREE NARAYANA MISSION NURSING HOME,12 YISHUN AVENUE 5 Singapore 768992,768992
ST JOSEPH'S HOME,36 JURONG WEST STREET 24 Singapore 648141,648141
ST LUKE'S ELDERCARE RESIDENCE @ ANG MO KIO,2 ANG MO KIO STREET 23 Singapore 569341,569341
ST. ANDREW'S NURSING HOME (BUANGKOK),60 Buangkok View Singapore 534012,534012
ST. ANDREW'S NURSING HOME (HENDERSON),303 HENDERSON ROAD Singapore 108925,108925
ST. ANDREW'S NURSING HOME (QUEENSTOWN),11 JALAN PENJARA Singapore 149380,149380
ST. ANDREW'S NURSING HOME (TAMAN JURONG),2 YUNG HO WALK Singapore 618274,618274
SUNLOVE HOME,70 BUANGKOK VIEW Singapore 534190,534190
SURYA HOME,80 BUANGKOK VIEW Singapore 534191,534191
SWAMI HOME,5 SEMBAWANG WALK Singapore 757717,757717
TAI PEI OLD PEOPLE'S HOME,10 JALAN AMPAS Singapore 329510,329510
TAMPINES CARE HOME,31 TAMPINES STREET 61 Singapore 528564,528564
THE LENTOR RESIDENCE,51 LENTOR AVENUE Singapore 786876,786876
"THE SALVATION ARMY, PEACEHAVEN NURSING HOME",9 UPPER CHANGI ROAD NORTH Singapore 507706,507706
THK NURSING HOME @ HOUGANG,48 HOUGANG AVENUE 8 Singapore 538793,538793
THONG TECK HOME FOR SENIOR CITIZENS,91 GEYLANG EAST AVENUE 2 Singapore 389759,389759
TTSH NURSING HOME BED,5 PEARL'S HILL ROAD Singapore 168996,168996
UNITED MEDICARE (ELIZABETH DR) PTE LTD,72 Elizabeth Drive Singapore 669745,669745
UNITED MEDICARE CENTRE,170 TOA PAYOH LORONG 6 Singapore 319400,319400
UNITED MEDICARE CENTRE (QUEENSWAY),55 QUEENSWAY Singapore 149058,149058
VILLA FRANCIS HOME FOR THE AGED,91 YISHUN CENTRAL Singapore 768829,768829
WINDSOR CONVALESCENT HOME PTE LTD,369 PASIR PANJANG RD Singapore 118706,118706
WOODLANDS CARE HOME,2 WOODLANDS RISE Singapore 737749,737749
XISER CARESERVE,"BUANGKOK GREEN MEDICAL PARK 10 BUANGKOK VIEW, BLOCK 5 LEVEL 5&6 BUANGKOK GREEN MEDICAL PARK Singapore 539747",539747
